BioSample,BioProject,Organism,sub_group,SRA_Study,era,era_guess,age,comments,DATASTORE_filetype,run_count
SAMEA3951222,PRJEB13863,Equus caballus,Friesian dwarf,ERP015442,modern,,,,'bam' 'sra',1
SAMEA3951223,PRJEB13863,Equus caballus,Friesian dwarf,ERP015442,modern,,,,'bam' 'sra' 'unknown_contigs',1
SAMEA4059124,PRJEB14651,Equus caballus,Standardbred,ERP016307,modern,,,,'bam' 'sra',1
SAMEA4075241,PRJEB14779,Equus caballus,Akhal-Teke,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075242,PRJEB14779,Equus caballus,Akhal-Teke,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075243,PRJEB14779,Equus caballus,Akhal-Teke,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075244,PRJEB14779,Equus caballus,Akhal-Teke,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075245,PRJEB14779,Equus caballus,Arabian,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075246,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075247,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075248,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075249,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075250,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075251,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075252,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
SAMEA4075253,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
