BioSample,BioProject,Organism,sub_group,SRA_Study,era,era_guess,age,comments,DATASTORE_filetype,run_count
SAMEA5408340,PRJEB31613,Equus caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408341,PRJEB31613,Equus caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408342,PRJEB31613,Equus caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408343,PRJEB31613,Equus caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408344,PRJEB31613,Equus caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408345,PRJEB31613,Equus asinus x caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408346,PRJEB31613,Equus asinus x caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408347,PRJEB31613,Equus caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408348,PRJEB31613,Equus caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408349,PRJEB31613,Equus asinus x caballus,,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408350,PRJEB31613,Equus caballus,,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408351,PRJEB31613,Equus caballus,,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408352,PRJEB31613,Equus asinus x caballus,,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408353,PRJEB31613,Equus asinus x caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam',2
SAMEA5408354,PRJEB31613,Equus asinus x caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408355,PRJEB31613,Equus asinus x caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408356,PRJEB31613,Equus asinus x caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408357,PRJEB31613,Equus asinus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408358,PRJEB31613,Equus caballus,Yerqorqan,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5600769,PRJEB14779,Equus caballus,German Riding Pony,ERP016448,modern,,,,'bam' 'sra',1
SAMEA6135894,PRJEB14779,Equus caballus,,ERP016448,modern,,,,'bam' 'sra',1
SAMEA6135895,PRJEB14779,Equus caballus,,ERP016448,modern,,,,'bam' 'sra',1
SAMEA6135896,PRJEB14779,Equus caballus,,ERP016448,modern,,,,'bam' 'sra',1
SAMEA6135897,PRJEB14779,Equus caballus,,ERP016448,modern,,,,'bam' 'sra',1
SAMN01047693,PRJNA168142,Equus caballus,Thoroughbred,SRP013636,modern,,,"Library Name some, but not much",'sra',1
SAMN01047694,PRJNA168142,Equus caballus,Thoroughbred,SRP013636,modern,,,"Library Name some, but not much",'sra',1
SAMN01047695,PRJNA168142,Equus caballus,Thoroughbred,SRP013636,modern,,,"Library Name some, but not much",'sra',1
SAMN01047696,PRJNA168142,Equus caballus,Thoroughbred,SRP013636,modern,,,"Library Name some, but not much",'sra',1
SAMN01047697,PRJNA168142,Equus caballus,Thoroughbred,SRP013636,modern,,,"Library Name some, but not much",'sra',1
SAMN01047698,PRJNA168142,Equus caballus,Thoroughbred,SRP013636,modern,,,"Library Name some, but not much",'sra',1
SAMN01047699,PRJNA168142,Equus caballus,Thoroughbred,SRP013636,modern,,,"Library Name some, but not much",'sra',1
SAMN01047700,PRJNA168142,Equus caballus,Thoroughbred,SRP013636,modern,,,"Library Name some, but not much",'sra',1
SAMN01047701,PRJNA168142,Equus caballus,Thoroughbred,SRP013636,modern,,,"Library Name some, but not much",'sra',1
SAMN01047702,PRJNA168142,Equus caballus,Thoroughbred,SRP013636,modern,,,"Library Name some, but not much",'sra',1
SAMN01047703,PRJNA168142,Equus caballus,Thoroughbred,SRP013636,modern,,,"Library Name some, but not much",'sra',1
SAMN01047704,PRJNA168142,Equus caballus,Thoroughbred,SRP013636,modern,,,"Library Name some, but not much",'sra',1
SAMN01047705,PRJNA168142,Equus caballus,Thoroughbred,SRP013636,modern,,,"Library Name some, but not much",'sra',1
SAMN01047706,PRJNA168142,Equus caballus,Thoroughbred,SRP013636,modern,,,"Library Name some, but not much",'sra',1
SAMN01047707,PRJNA168142,Equus caballus,Jeju horse,SRP013636,modern,,,"Library Name some, but not much",'sra',1
SAMN01047708,PRJNA168142,Equus caballus,Jeju horse,SRP013636,modern,,,"Library Name some, but not much",'sra',1
SAMN01057170,PRJNA169102,Equus caballus,Jeju horse,SRP013860,modern,,,,'sra',4
SAMN01057171,PRJNA169102,Equus caballus,Jeju horse,SRP013860,modern,,,,'sra',6
SAMN01057172,PRJNA169102,Equus caballus,Jeju horse,SRP013860,modern,,,,'sra',1
SAMN01057173,PRJNA169102,Equus caballus,Jeju horse,SRP013860,modern,,,,'sra',10
SAMN01880949,PRJNA184688,Equus caballus,Thoroughbred,SRP017702,modern,,,,'sra',1
SAMN01880950,PRJNA184688,Equus caballus,Thoroughbred,SRP017702,modern,,,,'sra',1
SAMN01880951,PRJNA184688,Equus caballus,Thoroughbred,SRP017702,modern,,,,'sra',1
SAMN01880952,PRJNA184688,Equus caballus,Thoroughbred,SRP017702,modern,,,,'sra',1
SAMN02422919,PRJNA230019,Equus caballus,Dulmen pony,SRP033361,modern,,,additional locations for one sample,'sra',1
SAMN02439777,PRJNA230019,Equus caballus,Arabian,SRP033361,modern,,,additional locations for one sample,'sra',1
SAMN02439778,PRJNA230019,Equus caballus,Sorraia,SRP033361,modern,,,additional locations for one sample,'sra',1
SAMN02439779,PRJNA230019,Equus caballus,Hanoverian,SRP033361,modern,,,additional locations for one sample,'sra',1
SAMN02439782,PRJNA230019,Equus caballus,Hanoverian,SRP033361,modern,,,additional locations for one sample,'sra',1
SAMN02570035,PRJNA233529,Equus caballus,Mongolian,SRP035222,modern,,,requires join,'sra',5
SAMN02570036,PRJNA233529,Equus caballus,Mongolian,SRP035222,modern,,,requires join,'sra',4
SAMN02570037,PRJNA233533,Equus przewalskii,Przewalski,SRP035221,modern,,,,'sra',5
SAMN02570038,PRJNA233533,Equus przewalskii,Przewalski,SRP035221,modern,,,,'sra',4
SAMN02767683,PRJNA246445,Equus ferus,Marwari,SRP041785,modern,,,,'sra',1
SAMN03009553,PRJNA233529,Equus caballus,Mongolian,SRP035222,modern,,,requires join,'sra',2
SAMN03009554,PRJNA233529,Equus caballus,Mongolian,SRP035222,modern,,,requires join,'sra',2
SAMN03009555,PRJNA233533,Equus przewalskii,Przewalski,SRP035221,modern,,,,'sra',2
SAMN03009556,PRJNA233533,Equus przewalskii,Przewalski,SRP035221,modern,,,,'sra',2
SAMN03291441,PRJNA273402,Equus caballus,Connemara Pony,SRP052751,modern,,,,'sra',1
SAMN03291442,PRJNA273402,Equus caballus,Connemara Pony,SRP052751,modern,,,,'sra',1
SAMN03291459,PRJNA273402,Equus caballus,Connemara Pony,SRP052751,modern,,,,'sra',1
SAMN03291461,PRJNA273402,Equus caballus,Connemara Pony,SRP052751,modern,,,,'sra',1
SAMN03952747,PRJNA291776,Equus caballus,Hanoverian,SRP061963,modern,,,,'sra',1
SAMN03952758,PRJNA291776,Equus caballus,Hanoverian,SRP061963,modern,,,,'sra',1
SAMN03955412,PRJNA291776,Equus caballus,Saxon-Thuringian Heavy Warmblood,SRP061963,modern,,,,'sra',1
SAMN03955413,PRJNA291776,Equus caballus,Sorraia,SRP061963,modern,,,,'sra',1
SAMN04359671,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359672,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359692,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359693,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359694,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359695,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359698,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359701,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359702,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359703,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359704,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359705,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359706,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359720,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359732,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359733,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359734,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN04359735,PRJNA306677,Equus caballus,Standardbred,SRP067684,modern,,,,'sra',1
SAMN06017257,PRJNA357976,Equus caballus,Lipizzan,SRP095685,modern,,,,'sra',1
SAMN06017258,PRJNA357976,Equus caballus,Lipizzan,SRP095685,modern,,,,'sra',1
SAMN06017259,PRJNA357976,Equus caballus,Lipizzan,SRP095685,modern,,,,'sra',1
SAMN06028168,PRJNA357976,Equus caballus,Lipizzan,SRP095685,modern,,,,'sra',1
