Run,BioSample,BioProject,Organism,sub_group,DATASTORE_filetype,SRA_Study,era,era_guess,age,comments
ERR979234,SAMEA3498595,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979235,SAMEA3498595,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979236,SAMEA3498595,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979237,SAMEA3498595,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979238,SAMEA3498595,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979239,SAMEA3498595,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979240,SAMEA3498595,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979241,SAMEA3498601,PRJEB10098,Equus caballus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979242,SAMEA3498601,PRJEB10098,Equus caballus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979244,SAMEA3498601,PRJEB10098,Equus caballus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979245,SAMEA3498601,PRJEB10098,Equus caballus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979246,SAMEA3498601,PRJEB10098,Equus caballus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979247,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979248,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979249,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979250,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979251,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979252,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979253,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979254,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979255,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979256,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979258,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979259,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979260,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979261,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979262,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979263,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979264,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979265,SAMEA3498593,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979266,SAMEA3498602,PRJEB10098,Equus caballus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979267,SAMEA3498602,PRJEB10098,Equus caballus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979268,SAMEA3498602,PRJEB10098,Equus caballus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979270,SAMEA3498602,PRJEB10098,Equus caballus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979271,SAMEA3498602,PRJEB10098,Equus caballus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979272,SAMEA3498602,PRJEB10098,Equus caballus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979274,SAMEA3498579,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979275,SAMEA3498579,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979276,SAMEA3498579,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979277,SAMEA3498579,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979278,SAMEA3498579,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979280,SAMEA3498579,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979281,SAMEA3498579,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
