Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,title
ERR1659884,15COD029_BLEDD,WGS,252,298945836,PRJEB15516,SAMEA4465541,102942958,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD029_BLEDD,ERC000011,2016-09-29,2018-11-16,ERX1730202,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD029_BLEDD,PAIRED,RANDOM,GENOMIC,298,98,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465541,ERS1364720,ERS1364720,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659887,18COD029_DD,WGS,252,321042960,PRJEB15516,SAMEA4465544,110856134,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD029_DD,ERC000011,2016-09-29,2018-11-16,ERX1730205,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD029_DD,PAIRED,RANDOM,GENOMIC,321,105,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465544,ERS1364723,ERS1364723,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659888,19COD030_BLESD,WGS,252,985890024,PRJEB15516,SAMEA4465545,335390466,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD030_BLESD,ERC000011,2016-09-29,2018-11-16,ERX1730206,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD030_BLESD,PAIRED,RANDOM,GENOMIC,985,319,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465545,ERS1364724,ERS1364724,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659889,20COD030_BLEDD,WGS,252,2898949536,PRJEB15516,SAMEA4465546,1160359930,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD030_BLEDD,ERC000011,2016-09-29,2018-11-16,ERX1730207,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD030_BLEDD,PAIRED,RANDOM,GENOMIC,2898,1106,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465546,ERS1364725,ERS1364725,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659892,23COD030_DD,WGS,252,4196758860,PRJEB15516,SAMEA4465549,1670400875,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD030_DD,ERC000011,2016-09-29,2018-11-16,ERX1730210,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,COD030_DD,PAIRED,RANDOM,GENOMIC,4196,1593,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465549,ERS1364728,ERS1364728,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659894,25COD034_BLESD,WGS,252,426545280,PRJEB15516,SAMEA4465551,146709931,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD034_BLESD,ERC000011,2016-09-29,2018-11-16,ERX1730212,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,COD034_BLESD,PAIRED,RANDOM,GENOMIC,426,139,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465551,ERS1364730,ERS1364730,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659896,27COD034_SD,WGS,252,355941684,PRJEB15516,SAMEA4465553,127699136,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD034_SD,ERC000011,2016-09-29,2018-11-16,ERX1730214,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,COD034_SD,PAIRED,RANDOM,GENOMIC,355,121,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465553,ERS1364732,ERS1364732,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659897,28COD034_DD,WGS,252,368816364,PRJEB15516,SAMEA4465554,127580015,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD034_DD,ERC000011,2016-09-29,2018-11-16,ERX1730215,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,COD034_DD,PAIRED,RANDOM,GENOMIC,368,121,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465554,ERS1364733,ERS1364733,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659903,34COD029_BLEDD2,WGS,252,2729100780,PRJEB15516,SAMEA4465560,1102618369,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD029_BLEDD2,ERC000011,2016-09-29,2018-11-16,ERX1730221,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,COD029_BLEDD2,PAIRED,RANDOM,GENOMIC,2729,1051,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465560,ERS1364739,ERS1364739,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659906,37COD034_BLEDD,WGS,252,874073340,PRJEB15516,SAMEA4465563,346086171,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD034_BLEDD,ERC000011,2016-09-29,2018-11-16,ERX1730224,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,COD034_BLEDD,PAIRED,RANDOM,GENOMIC,874,330,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465563,ERS1364742,ERS1364742,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
